AccX,AccY,AccZ,MX,MY,MZ,YAW,PITCH,ROLE
7.97,-46,-126.84,0,0,0,167.34,-45.26,116.85,wrong_trick
26.89,7,-232.77,0,0,0,-331.66,-22.26,76.85
62.75,136,-256.93,0,0,0,-144.66,-49.26,104.85
-114.55,-88,16.26,0,0,0,-23.66,7.74,122.85
31.88,-60,-19.05,0,0,0,122.34,-74.26,109.85
29.88,57,-143.56,0,0,0,-767.66,50.74,-149.15
-133.48,-29,28.34,0,0,0,84.34,-85.26,110.85
92.64,65,-401.89,0,0,0,-245.66,37.74,-43.15
-72.72,305,106.4,0,0,0,-131.66,21.74,9.85
-50.8,-36,-146.35,0,0,0,-41.66,29.74,23.85
15.94,-33,-314.54,0,0,0,-403.66,17.74,-84.15
