AccX,AccY,AccZ,MX,MY,MZ,YAW,PITCH,ROLE
90.65,16,-261.58,0,0,0,-12.66,10.74,-17.15,wrong_trick
56.78,-3,-222.55,0,0,0,-1.66,4.74,20.85
210.18,5,-167.72,0,0,0,-245.66,-88.26,-68.15
10.96,135,-276.44,0,0,0,155.34,-15.26,40.85
74.71,71,-336.84,0,0,0,-127.66,-101.26,-29.15
83.67,-174,-231.84,0,0,0,228.34,-64.26,101.85
141.45,17,-191.88,0,0,0,-86.66,-29.26,191.85
84.67,-182,-177.02,0,0,0,-164.66,52.74,174.85
41.84,-70,-332.2,0,0,0,272.34,29.74,109.85
-54.79,6,-273.66,0,0,0,18.34,-13.26,40.85
70.72,4,-233.7,0,0,0,-35.66,-2.26,14.85
65.74,-1,-238.34,0,0,0,-33.66,-2.26,13.85
-6.97,-160,148.21,0,0,0,-377.66,-11.26,-31.15
