AccX,AccY,AccZ,MX,MY,MZ,YAW,PITCH,ROLE
56.78,6,-239.27,0,0,0,-41.66,-3.26,13.85,pop
65.74,7,-234.63,0,0,0,-29.66,-1.26,15.85
32.87,28,-238.34,0,0,0,-54.66,-38.26,10.85
21.91,37,-231.84,0,0,0,-191.66,31.74,-10.15
200.22,-38,-295.96,0,0,0,-1298.66,39.74,-214.15
63.75,-8,-197.46,0,0,0,330.34,163.74,-254.15
88.65,-50,-220.69,0,0,0,-63.66,39.74,87.85
52.79,-35,-246.71,0,0,0,136.34,-3.26,23.85
