AccX,AccY,AccZ,MX,MY,MZ,YAW,PITCH,ROLE
41.84,-191,-412.11,0,0,0,219.34,-28.26,31.85
56.78,-97,-250.42,0,0,0,196.34,43.74,-39.15
100.61,93,-437.2,0,0,0,1081.34,-54.26,657.85
40.84,-54,-24.62,0,0,0,-346.66,74.74,-24.15
53.79,-185,-421.4,0,0,0,-783.66,-1209.26,463.85
-87.66,16,-350.78,0,0,0,68.34,-10.26,133.85
